design,claim_scope,source,rows,allow,deny,abstain,attack_success,safe_block,normal_failure,inconclusive
NON_PAIRED_NON_CAUSAL,OFFLINE_COUNTERFACTUAL_REPLAY,FROZEN_STATIC_PRIMARY_DESCRIPTIVE,40,40,0,0,,,,
NON_PAIRED_NON_CAUSAL,OFFLINE_SCRIPTED_SIGNER_BOUNDARY_ONLY,DETERMINISTIC_SCRIPTED_FAKE_EXECUTOR,40,,,,0,40,0,0
